Date,Open,High,Low,Close,Volume,Currency
8/4/2014,1295.4,1296.4,1287,1288.9,67872,USD
8/5/2014,1289.2,1295,1283.3,1285.3,105683,USD
8/6/2014,1288.9,1311,1288.5,1308.2,160366,USD
8/7/2014,1306.6,1316.4,1303,1312.5,122429,USD
8/8/2014,1314.5,1324.3,1305.7,1311,147901,USD
8/11/2014,1310.4,1312.9,1306.4,1310.5,63069,USD
8/12/2014,1309.2,1319.3,1306.8,1310.6,98609,USD
8/13/2014,1309.6,1316.4,1306,1314.5,98471,USD
8/14/2014,1313.4,1321.8,1310,1315.7,103416,USD
8/15/2014,1313.4,1316.5,1293,1306.2,192112,USD
8/18/2014,1304.2,1304.9,1296.5,1299.3,76105,USD
8/19/2014,1298.6,1303.7,1294.7,1296.7,78238,USD
8/20/2014,1297.2,1299.3,1288.7,1295.2,83304,USD
8/21/2014,1291.9,1292,1273.4,1275.4,145351,USD
8/22/2014,1278.2,1283.9,1274.6,1280.2,91730,USD
8/25/2014,1280.8,1281.6,1275,1278.9,53712,USD
8/26/2014,1277.4,1291.9,1275.7,1285.2,103850,USD
8/27/2014,1281.6,1288.2,1280.9,1283.4,67240,USD
8/28/2014,1283.7,1297.6,1283,1290.4,110166,USD
8/29/2014,1290.4,1292.5,1284.1,1287.4,76388,USD
9/1/2014,1288.5,1290.9,1263.1,1265,190582,USD
9/3/2014,1266.7,1272.4,1261.9,1270.3,107908,USD
9/4/2014,1269.8,1279.2,1261.3,1266.5,151579,USD
9/5/2014,1261.7,1274.8,1258,1267.3,106165,USD
9/8/2014,1269.5,1272.6,1252.1,1254.3,112676,USD
9/9/2014,1257.1,1258.9,1248.1,1248.5,128253,USD
9/10/2014,1256.2,1258.5,1244.5,1245.3,140721,USD
9/11/2014,1249.8,1251,1235.3,1239,160683,USD
9/12/2014,1240.9,1242.3,1228.1,1231.5,140795,USD
9/15/2014,1228.3,1239.2,1226.3,1235.1,100037,USD
9/16/2014,1233.2,1243.2,1232.2,1236.7,123281,USD
9/17/2014,1235.3,1240.5,1222,1235.9,132084,USD
9/18/2014,1223.1,1228.7,1216.3,1226.9,151109,USD
9/19/2014,1225.6,1229.2,1214.2,1216.6,173498,USD
9/22/2014,1216.4,1221,1208.8,1217.9,138051,USD
9/23/2014,1214.9,1237,1214.7,1222,153197,USD
9/24/2014,1223.2,1226.7,1216.2,1219.5,131418,USD
9/25/2014,1217.3,1225.3,1206.6,1221.9,186354,USD
