Date,Open,High,Low,Close,Adj Close,Volume
14-Jun-12,"1,314.88","1,333.68","1,314.14",1329.10,"1,329.10","3,687,720,000"
13-Jun-12,"1,324.02","1,327.28","1,310.51",1314.88,"1,314.88","3,506,510,000"
12-Jun-12,"1,309.40","1,324.31","1,306.62",1324.18,"1,324.18","3,442,920,000"
11-Jun-12,"1,325.72","1,335.52","1,307.73",1308.93,"1,308.93","3,537,530,000"
8-Jun-12,"1,314.99","1,325.81","1,307.77",1325.66,"1,325.66","3,497,190,000"
7-Jun-12,"1,316.15","1,329.05","1,312.68",1314.99,"1,314.99","4,258,140,000"
6-Jun-12,"1,285.61","1,315.13","1,285.61",1315.13,"1,315.13","4,268,360,000"
5-Jun-12,"1,277.82","1,287.62","1,274.16",1285.50,"1,285.50","3,403,230,000"
4-Jun-12,"1,278.29","1,282.55","1,266.74",1278.18,"1,278.18","4,011,960,000"
1-Jun-12,"1,309.87","1,309.87","1,277.25",1278.04,"1,278.04","4,669,350,000"
31-May-12,"1,313.09","1,319.74","1,298.90",1310.33,"1,310.33","4,557,620,000"
30-May-12,"1,331.25","1,331.25","1,310.76",1313.32,"1,313.32","3,534,290,000"
29-May-12,"1,318.90","1,334.93","1,318.90",1332.42,"1,332.42","3,441,640,000"
25-May-12,"1,320.81","1,324.20","1,314.23",1317.82,"1,317.82","2,872,660,000"
24-May-12,"1,318.72","1,324.14","1,310.50",1320.68,"1,320.68","3,937,670,000"
23-May-12,"1,316.02","1,320.71","1,296.53",1318.86,"1,318.86","4,108,330,000"
22-May-12,"1,316.09","1,328.49","1,310.04",1316.63,"1,316.63","4,123,680,000"
21-May-12,"1,295.73","1,316.39","1,295.73",1315.99,"1,315.99","3,786,750,000"
18-May-12,"1,305.05","1,312.24","1,291.98",1295.22,"1,295.22","4,512,470,000"
17-May-12,"1,324.82","1,326.36","1,304.86",1304.86,"1,304.86","4,664,280,000"
16-May-12,"1,330.78","1,341.78","1,324.79",1324.80,"1,324.80","4,280,420,000"
15-May-12,"1,338.36","1,344.94","1,328.41",1330.66,"1,330.66","4,114,040,000"
14-May-12,"1,351.93","1,351.93","1,336.61",1338.35,"1,338.35","3,688,120,000"
11-May-12,"1,358.11","1,365.66","1,348.89",1353.39,"1,353.39","3,869,070,000"
10-May-12,"1,354.58","1,365.88","1,354.58",1357.99,"1,357.99","3,727,990,000"
9-May-12,"1,363.20","1,363.73","1,343.13",1354.58,"1,354.58","4,288,540,000"
8-May-12,"1,369.16","1,369.16","1,347.75",1363.72,"1,363.72","4,261,670,000"
7-May-12,"1,368.79","1,373.91","1,363.94",1369.58,"1,369.58","3,559,390,000"
4-May-12,"1,391.51","1,391.51","1,367.96",1369.10,"1,369.10","3,975,140,000"
3-May-12,"1,402.32","1,403.07","1,388.71",1391.57,"1,391.57","4,004,910,000"
2-May-12,"1,405.50","1,405.50","1,393.92",1402.31,"1,402.31","3,803,860,000"
1-May-12,"1,397.86","1,415.32","1,395.73",1405.82,"1,405.82","3,807,950,000"
30-Apr-12,"1,403.26","1,403.26","1,394.00",1397.91,"1,397.91","3,574,010,000"
27-Apr-12,"1,400.19","1,406.64","1,397.31",1403.36,"1,403.36","3,645,830,000"
